date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:25:29	98923/98923	---MCZ	200	added ('OK')	image/png	etag:W/%226082772c-1826b%22	https://www.attaqwa.co.id/wp-content/uploads/2021/04/Hero-3-1.png	D:/Pelatihan%20DIGIMAR/Alquran/www.attaqwa.co.id/wp-content/uploads/2021/04/Hero-3-1.png	(from https://www.attaqwa.co.id/)
13:25:29	85125/85125	---MCZ	200	added ('OK')	image/png	etag:W/%22608272b2-14c85%22	https://www.attaqwa.co.id/wp-content/uploads/2021/04/Hero-7.png	D:/Pelatihan%20DIGIMAR/Alquran/www.attaqwa.co.id/wp-content/uploads/2021/04/Hero-7.png	(from https://www.attaqwa.co.id/)
13:25:29	41256/41256	---MCZ	200	added ('OK')	image/webp	etag:W/%2261e236e6-a128%22	https://www.attaqwa.co.id/wp-content/uploads/2022/01/ezgif.com-gif-maker-87.webp	D:/Pelatihan%20DIGIMAR/Alquran/www.attaqwa.co.id/wp-content/uploads/2022/01/ezgif.com-gif-maker-87.webp	(from https://www.attaqwa.co.id/)
13:25:31	10650/10650	---MCZ	200	added ('OK')	image/gif	etag:W/%22604f01e1-299a%22	https://www.attaqwa.co.id/wp-content/uploads/2021/03/down-arrow.gif	D:/Pelatihan%20DIGIMAR/Alquran/www.attaqwa.co.id/wp-content/uploads/2021/03/down-arrow.gif	(from https://www.attaqwa.co.id/)
13:25:31	81517/81517	---MCZ	200	added ('OK')	image/png	etag:W/%22608274eb-13e6d%22	https://www.attaqwa.co.id/wp-content/uploads/2021/04/Hero-11.png	D:/Pelatihan%20DIGIMAR/Alquran/www.attaqwa.co.id/wp-content/uploads/2021/04/Hero-11.png	(from https://www.attaqwa.co.id/)
13:25:31	193869/193869	---MCZ	200	added ('OK')	image/png	etag:W/%2261669aae-2f54d%22	https://www.attaqwa.co.id/wp-content/uploads/2021/10/4a.png	D:/Pelatihan%20DIGIMAR/Alquran/www.attaqwa.co.id/wp-content/uploads/2021/10/4a.png	(from https://www.attaqwa.co.id/)
13:25:32	183650/183650	---MCZ	200	added ('OK')	image/png	etag:W/%2261669aae-2cd62%22	https://www.attaqwa.co.id/wp-content/uploads/2021/10/5a.png	D:/Pelatihan%20DIGIMAR/Alquran/www.attaqwa.co.id/wp-content/uploads/2021/10/5a.png	(from https://www.attaqwa.co.id/)
13:25:32	19742/19742	---MCZ	200	added ('OK')	image/png	etag:W/%22604f01e2-4d1e%22	https://www.attaqwa.co.id/wp-content/uploads/2021/03/beli-sekarang-1.png	D:/Pelatihan%20DIGIMAR/Alquran/www.attaqwa.co.id/wp-content/uploads/2021/03/beli-sekarang-1.png	(from https://www.attaqwa.co.id/)
13:25:32	526/526	---MCZ	200	added ('OK')	image/png	etag:W/%22604ad95a-20e%22	https://www.attaqwa.co.id/wp-content/uploads/2021/03/%ef%80%85%ef%80%85%ef%80%85%ef%80%85%ef%80%85.png	D:/Pelatihan%20DIGIMAR/Alquran/www.attaqwa.co.id/wp-content/uploads/2021/03/%ef%80%85%ef%80%85%ef%80%85%ef%80%85%ef%80%85.png	(from https://www.attaqwa.co.id/)
13:25:32	20535/20535	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22604ad95a-5037%22	https://www.attaqwa.co.id/wp-content/uploads/2021/03/25.jpg	D:/Pelatihan%20DIGIMAR/Alquran/www.attaqwa.co.id/wp-content/uploads/2021/03/25.jpg	(from https://www.attaqwa.co.id/)
